2026-05-01 15:17:20 | INFO     | home_credit.feature_engineer | ==================================================
2026-05-01 15:17:20 | INFO     | home_credit.feature_engineer | FEATURE ENGINEERING TRAIN DATA
2026-05-01 15:17:20 | INFO     | home_credit.feature_engineer | Input shape: (246008, 117)
2026-05-01 15:17:20 | INFO     | home_credit.feature_engineer | FE: EXT_SOURCE combination features
2026-05-01 15:17:20 | INFO     | home_credit.feature_engineer |   Created: ['FE_ext_mean', 'FE_ext_min', 'FE_ext_max', 'FE_ext_std', 'FE_ext_sum', 'FE_ext12_prod', 'FE_ext23_prod', 'FE_ext13_prod']
2026-05-01 15:17:20 | INFO     | home_credit.feature_engineer | FE: Age & Employment features
2026-05-01 15:17:20 | INFO     | home_credit.feature_engineer |   Created: ['FE_age_years', 'FE_age_group', 'FE_employment_ratio', 'FE_registration_age_ratio']
2026-05-01 15:17:20 | INFO     | home_credit.feature_engineer | FE: Credit & Income ratio features
2026-05-01 15:17:20 | INFO     | home_credit.feature_engineer |   Created: ['FE_income_log', 'FE_credit_income_ratio', 'FE_annuity_income_ratio', 'FE_annuity_credit_ratio', 'FE_credit_goods_diff', 'FE_credit_goods_ratio']
2026-05-01 15:17:20 | INFO     | home_credit.feature_engineer | FE: Frequency encoding
2026-05-01 15:17:20 | INFO     | home_credit.feature_engineer |   [TRAIN] Frequency encoded 6 columns
2026-05-01 15:17:20 | INFO     | home_credit.feature_engineer | FE: Bureau aggregation
2026-05-01 15:20:36 | INFO     | home_credit.feature_engineer |   Bureau agg shape: (305811, 13)
2026-05-01 15:20:36 | INFO     | home_credit.feature_engineer | FE: Previous Application aggregation
2026-05-01 15:21:25 | INFO     | home_credit.feature_engineer |   Previous app agg shape: (338857, 10)
2026-05-01 15:21:25 | INFO     | home_credit.feature_engineer | FE: POS CASH aggregation
2026-05-01 15:21:50 | INFO     | home_credit.feature_engineer |   POS CASH agg shape: (337252, 7)
2026-05-01 15:21:50 | INFO     | home_credit.feature_engineer | FE: Installments aggregation
